公司名称 公司规模 岗位 公司位置 年薪 经验要求 basic ID
宁波思艾特软件有限公司 软件服务｜咨询,数据服务｜咨询,未融资,少于15人 python工程师 宁波·鄞州区 10k-17k 经验1-3年,本科 python工程师,宁波·鄞州区 62
杭州鸿致 软件服务｜咨询,专业服务｜咨询,营销服务｜咨询,未融资,15-50人 python开发工程师 杭州·上城区 10k-16k 经验1-3年,本科 python开发工程师,杭州·上城区 63
大眼睛 其他,不需要融资,500-2000人 python开发工程师 天津·邵公庄 8k-13k 经验1-3年,本科 python开发工程师,天津·邵公庄 64
紫川软件 网络通信,不需要融资,500-2000人 Python工程师 深圳·福田区 10k-12k 经验3-5年,本科 Python工程师,深圳·福田区 65
中通服软件科技有限公司 数据服务｜咨询,不需要融资,50-150人 Python开发工程师 成都·武侯区 10k-20k 经验1-3年,本科 Python开发工程师,成都·武侯区 66
航安云创 其他,不需要融资,50-150人 python开发工程师 天津·中北 10k-15k 经验3-5年,本科 python开发工程师,天津·中北 67
上海现代通用识别技术有限公司 IT技术服务｜咨询,不需要融资,15-50人 Python开发工程师 上海·闵行区 10k-15k 经验不限,本科 Python开发工程师,上海·闵行区 68
中益鑫 软件服务｜咨询,C轮,500-2000人 python工程师 北京·大望路 14k-16k 经验3-5年,本科 python工程师,北京·大望路 69
开科唯识 软件服务｜咨询,IT技术服务｜咨询,数据服务｜咨询,不需要融资,50-150人 python开发工程师 青岛·中韩 15k-20k 经验5-10年,本科 python开发工程师,青岛·中韩 70
中技数科 工具类产品,人工智能服务,天使轮,少于15人 python开发工程师 上海·闵行区 15k-30k 经验3-5年,本科 python开发工程师,上海·闵行区 71
阅得科技 金融,区块链,不需要融资,15-50人 python开发工程师 东莞·东莞市 12k-16k 经验3-5年,本科 python开发工程师,东莞·东莞市 72
京北方信息技术股份有限公司珠海分公司 软件开发,不需要融资,15-50人 python开发 北京·顺义区 10k-16k 经验3-5年,本科 python开发,北京·顺义区 73
奥创高新 旅游,汽车丨出行,不需要融资,少于15人 python开发工程师 深圳·福田区 12k-15k 经验3-5年,大专 python开发工程师,深圳·福田区 74
京北方 IT技术服务｜咨询,上市公司,2000人以上 python开发 北京·万寿寺 14k-17k 经验3-5年,本科 python开发,北京·万寿寺 75
博彦科技（上海）有限公司 IT技术服务｜咨询,未融资,50-150人 Python开发 上海·静安区 10k-12k 经验1-3年,本科 Python开发,上海·静安区 76
上海强辰 生活服务,上市公司,500-2000人 python开发 上海·黄浦区 13k-20k 经验3-5年,本科 python开发,上海·黄浦区 77
中国民航信息网络股份有限公司重庆分公司 游戏,A轮,50-150人 python开发工程师 重庆·渝北区 5k-10k 经验1-3年,本科 python开发工程师,重庆·渝北区 78
乐谷游戏 工具类产品,未融资,15-50人 python开发工程师 武汉·洪山区 10k-20k 经验3-5年,大专 python开发工程师,武汉·洪山区 79
文信博易 医疗｜保健｜美容,未融资,50-150人 python开发工程师 北京·回龙观 15k-25k 经验3-5年,本科 python开发工程师,北京·回龙观 80
上海韬源信息技术有限公司 软件服务｜咨询,IT技术服务｜咨询,不需要融资,150-500人 python开发 上海·浦东新区 12k-16k 经验1-3年,本科 python开发,上海·浦东新区 81
瑞莱士 居住服务,上市公司,2000人以上 python开发工程师 深圳·平湖 15k-30k 经验3-5年,本科 python开发工程师,深圳·平湖 82
友点科技 其他,不需要融资,15-50人 python开发工程师 深圳·福田区 11k-18k 经验3-5年,大专 python开发工程师,深圳·福田区 83
贝壳 电商平台,软件服务｜咨询,数据服务｜咨询,未融资,15-50人 Python开发工程师 北京·西二旗 25k-40k 经验3-5年,本科 Python开发工程师,北京·西二旗 84
湖北卓圣自动化系统有限公司 软件服务｜咨询,IT技术服务｜咨询,贸易｜进出口,未融资,50-150人 Python 武汉·江夏区 10k-15k 经验3-5年,大专 Python,武汉·江夏区 85
湖南象盒网络科技有限公司 房产家居,不需要融资,2000人以上 python开发工程师 长沙·芙蓉区 9k-13k 经验1-3年,本科 python开发工程师,长沙·芙蓉区 86
APJ 电商平台,内容社区,不需要融资,500-2000人 Python开发工程师 珠海·香洲区 9k-14k 经验3-5年,大专 Python开发工程师,珠海·香洲区 87
比特鹰 区块链,未融资,15-50人 python开发工程师 广州·新港 8k-13k 经验1-3年,不限 python开发工程师,广州·新港 88
六坊信息 IT技术服务｜咨询,区块链,数据服务｜咨询,未融资,少于15人 python开发工程师 上海·普陀区 10k-20k 经验3-5年,本科 python开发工程师,上海·普陀区 89
一张满减券 IT技术服务｜咨询,未融资,15-50人 python开发 深圳·宝安区 10k-11k 经验1-3年,本科 python开发,深圳·宝安区 90
德科信息 物联网,不需要融资,2000人以上 python开发工程师 上海·洋泾 16k-22k 经验3-5年,本科 python开发工程师,上海·洋泾 91
赤湾通信卫星应用 网络通信,信息安全,IT技术服务｜咨询,未融资,15-50人 python开发工程师 深圳·南山区 15k-25k 经验3-5年,本科 python开发工程师,深圳·南山区 92
优声科技 信息安全,物联网,未融资,150-500人 python开发工程师 北京·海淀区 12k-16k 经验3-5年,本科 python开发工程师,北京·海淀区 93
温州银行股份有限公司 金融业,未融资,2000人以上 python开发工程师 温州·鹿城区 13k-24k 经验3-5年,本科 python开发工程师,温州·鹿城区 94
达观数据 人工智能服务,数据服务｜咨询,C轮,500-2000人 python开发工程师 上海·张江 8k-15k 经验1-3年,本科 python开发工程师,上海·张江 95
达观数据 人工智能服务,数据服务｜咨询,C轮,500-2000人 python开发工程师 上海·浦东新区 15k-25k 经验3-5年,本科 python开发工程师,上海·浦东新区 96
客攀网络 软件服务｜咨询,未融资,15-50人 python开发工程师 杭州·余杭区 20k-30k 经验5-10年,本科 python开发工程师,杭州·余杭区 97
有一科技 专业服务｜咨询,未融资,50-150人 python开发工程师 上海·张江 15k-27k 经验不限,不限 python开发工程师,上海·张江 98
讯鸿网络 工具类产品,B轮,50-150人 python开发工程师 广州·珠江新城 15k-17k 经验1-3年,本科 python开发工程师,广州·珠江新城 99
SEEDIGITAL瑟尚 新媒体,文化传媒,A轮,150-500人 python工程师 上海·普陀区 25k-50k 经验1-3年,本科 python工程师,上海·普陀区 100
Altran（亚创） 专业服务｜咨询,上市公司,2000人以上 python开发工程师 西安·高新技术产业开发区 11k-14k 经验3-5年,本科 python开发工程师,西安·高新技术产业开发区 101
畅淼科技 人工智能,软件开发,不需要融资,15-50人 Python开发工程师 南京·开发区 5k-10k 经验1-3年,本科 Python开发工程师,南京·开发区 102
众图互联 企业服务,数据服务,不需要融资,50-150人 Python开发工程师 佛山·桂城 8k-15k 经验3-5年,本科 Python开发工程师,佛山·桂城 103
码博科技 数据服务｜咨询,物联网,不需要融资,15-50人 Python 北京·通州区 10k-16k 经验1-3年,本科 Python,北京·通州区 104
名林科技 软件服务｜咨询,IT技术服务｜咨询,未融资,少于15人 python开发工程师 厦门·新店 15k-20k 经验3-5年,不限 python开发工程师,厦门·新店 105
中环晶体 制造业,上市公司,2000人以上 python开发工程师 呼和浩特·赛罕区 10k-17k 经验3-5年,本科 python开发工程师,呼和浩特·赛罕区 106
远帆科技 网络通信,不需要融资,15-50人 python开发 杭州·拱墅区 7k-13k 经验1-3年,本科 python开发,杭州·拱墅区 107
速诺科技 游戏,工具类产品,不需要融资,150-500人 python开发工程师 武汉·流芳 10k-20k 经验3-5年,本科 python开发工程师,武汉·流芳 108
UX168 贸易｜进出口,不需要融资,500-2000人 Python开发工程师 广州·天河区 10k-15k 经验1-3年,本科 Python开发工程师,广州·天河区 109
数易科技 软件服务｜咨询,天使轮,15-50人 python开发工程师 北京·亦庄 12k-15k 经验不限,本科 python开发工程师,北京·亦庄 110
南京迈特望科技股份有限公司 IT技术服务｜咨询,上市公司,500-2000人 python开发工程师 天津·华明 10k-12k 经验3-5年,大专 python开发工程师,天津·华明 111
51JOB 工具类产品,上市公司,2000人以上 python开发工程师 武汉·东湖新技术开发区 8k-13k 经验1-3年,大专 python开发工程师,武汉·东湖新技术开发区 112
中软国际科技服务有限公司 IT技术服务｜咨询,上市公司,2000人以上 python开发工程师 武汉·武汉经济技术开发区 10k-18k 经验1-3年,本科 python开发工程师,武汉·武汉经济技术开发区 113
北瓜藤子 软件服务｜咨询,电商平台,不需要融资,15-50人 python 广州·大石 18k-30k 经验不限,本科 python,广州·大石 114
华为技术有限公司 智能硬件,IT技术服务｜咨询,制造业,不需要融资,2000人以上 Python开发工程师 南京·雨花台区 15k-25k 经验1-3年,本科 Python开发工程师,南京·雨花台区 115
旭日蓝天（武汉）科技有限公司 数据服务｜咨询,网络通信,不需要融资,15-50人 Python开发工程师 武汉·汉南区 10k-14k 经验1-3年,本科 Python开发工程师,武汉·汉南区 116
万 金融业,上市公司,150-500人 python开发工程师 济南·槐荫区 8k-15k 经验1-3年,本科 python开发工程师,济南·槐荫区 117
中信银行 信息安全,休闲｜娱乐,游戏,未融资,50-150人 python开发工程师 北京·朝阳区 25k-50k 经验3-5年,本科 python开发工程师,北京·朝阳区 118
探月科技 科技金融,不需要融资,15-50人 python开发工程师 长沙·岳麓区 11k-20k 经验1-3年,本科 python开发工程师,长沙·岳麓区 119
玄信资产 IT技术服务｜咨询,不需要融资,2000人以上 python开发工程师 上海·潍坊 10k-20k 经验1年以下,本科 python开发工程师,上海·潍坊 120
微创软件 IT技术服务｜咨询,未融资,50-150人 python开发工程师 深圳·大冲 8k-10k 经验1-3年,本科 python开发工程师,深圳·大冲 121
灰白科技 智能硬件,未融资,500-2000人 python开发工程师 上海·静安区 15k-22k 经验3-5年,本科 python开发工程师,上海·静安区 122
热刺激光 IT技术服务｜咨询,不需要融资,2000人以上 python开发工程师 北京·大山子 20k-30k 经验5-10年,本科 python开发工程师,北京·大山子 123
微创软件 IT技术服务｜咨询,软件服务｜咨询,数据服务｜咨询,未融资,150-500人 python开发工程师 上海·漕河泾 9k-13k 经验1-3年,大专 python开发工程师,上海·漕河泾 124
合十思维 专业服务｜咨询,不需要融资,2000人以上 python开发工程师 北京·回龙观 20k-35k 经验3-5年,本科 python开发工程师,北京·回龙观 125
信永中和 专业服务｜咨询,不需要融资,2000人以上 python工程师 北京·东四十条 5k-10k 经验在校,应届,本科 python工程师,北京·东四十条 126
信永中和 人工智能服务,不需要融资,500-2000人 Python开发工程师 北京·东四十条 10k-20k 经验3-5年,本科 Python开发工程师,北京·东四十条 127
长亭科技 企业服务,不需要融资,150-500人 python开发工程师 北京·五道口 18k-25k 经验1-3年,本科 python开发工程师,北京·五道口 128
金蝶账无忧 IT技术服务｜咨询,不需要融资,2000人以上 Python开发工程师 深圳·科技园 13k-20k 经验3-5年,本科 Python开发工程师,深圳·科技园 129
有家有保 移动互联网,金融,天使轮,15-50人 python工程师 北京·朝阳门 10k-20k 经验1-3年,本科 python工程师,北京·朝阳门 130
